g_,p_,micro_,macro_
-0.11377259513629023,0.125,WW,aW
-0.10240053929136034,0.0625,WW,aW
2.5981814987927394,0.375,F1W,aW
4.664744433858151,0.6875,H1W,aF1
3.1504476533079853,0.3125,F1W,aW
1.786886810256153,0.0625,WW,aW
2.5802290717593386,0.3125,F1W,aW
1.2665661243124726,0.25,WW,aW
1.5666102362824732,0.3125,F1W,aW
5.528710867367224,0.75,H1F1,aF1
4.7008629487872495,0.625,H1W,aF1
3.0514765626585074,0.5,H1W,aF1
2.4372724039435867,0.375,F1W,aW
4.1506057601158,0.625,H1W,aF1
0.0973554133225128,0.0,WW,aW
2.2747226729207366,0.1875,WW,aW
0.3493068029260693,0.25,F1W,aW
2.9754973588625675,0.5,H1W,aF1
3.558890836472741,0.5625,H1W,aF1
3.320039573835993,0.5,H1W,aF1
0.5167134944660634,0.0,WW,aW
3.0803793046279795,0.375,F1W,aW
3.6118317793682717,0.4375,WW,aW
0.14249469057757533,0.0625,WW,aW
4.068451091811011,0.5625,H1W,aF1
0.6346592461554915,0.125,WW,aW
1.5351621849475063,0.0625,WW,aW
0.2529951379275718,0.125,WW,aW
0.3928775932919938,0.0625,WW,aW
0.8290910370608415,0.0625,WW,aW
0.9828687311491622,0.1875,WW,aW
1.8468412046874576,0.3125,F1W,aW
1.54029099357034,0.3125,F1W,aW
3.5780793565673163,0.5,H1W,aF1
3.596585633150028,0.625,H1W,aF1
2.5372042044743646,0.4375,F1W,aW
0.3731780590436703,0.0625,WW,aW
2.2734957763962154,0.5,WH,aW
2.7892130410254996,0.5,H1W,aF1
1.7169998806220834,0.25,F1W,aW
2.289088687624965,0.1875,WW,aW
0.07622182507399825,0.0625,WW,aW
4.4136446493538255,0.6875,H1W,aF1
0.3650825313783095,0.25,WW,aW
1.31261564528285,0.25,WW,aW
1.0663576664437813,0.1875,WW,aW
0.6878777397748039,0.25,WW,aW
2.1613977736619563,0.3125,F1W,aW
1.6886231416624895,0.25,WW,aW
1.7483078709203215,0.3125,F1W,aW
-0.31691150979216426,0.0625,WW,aW
1.8101988165569578,0.4375,F1W,aW
2.5376689451738894,0.375,F1W,aW
3.0009320994187494,0.5,H1W,aF1
5.670754359206523,0.5625,H1W,aF1
1.0589708103524405,0.0625,WW,aW
2.541367258861606,0.375,F1W,aW
3.9529346938015415,0.6875,H1W,aF1
1.7930311950370397,0.3125,F1W,aW
0.9083339174986541,0.0,WW,aW
1.6884835152039568,0.1875,WW,aW
-1.285052231178319,0.0,WW,aW
0.7871374080560358,0.1875,WW,aW
1.1917364310103984,0.125,WW,aW
3.5874114895739884,0.4375,F1W,aW
0.33147386597272377,0.0625,WW,aW
1.5542537371164176,0.1875,WW,aW
0.711941758229268,0.0,WW,aW
1.8999912551284952,0.375,F1W,aW
5.033721801905323,0.625,F1F1,aW
2.9604966887015234,0.5,H1W,aF1
1.1966936833571056,0.1875,WW,aW
0.31819131355093067,0.125,WW,aW
1.5276115617723374,0.3125,F1W,aW
1.9711299121154133,0.3125,F1W,aW
3.6914897864668315,0.5625,H1W,aF1
1.616462072156921,0.125,WW,aW
3.5510148221565743,0.625,H1W,aF1
1.5350156878381964,0.25,F1W,aW
1.3071176120514205,0.125,WW,aW
0.2968405207826884,0.1875,WW,aW
4.755957094049783,0.75,H1F1,aF1
-0.007220732103856542,0.0625,WW,aW
3.6989591694487225,0.5625,H1W,aF1
0.16041213655142786,0.125,WW,aW
3.817016127698725,0.625,H1W,aF1
2.516114748789475,0.25,F1W,aW
1.0854103188381155,0.125,WW,aW
2.5210669764461713,0.25,F1W,aW
-0.2981051490782436,0.125,WW,aW
0.6135064426242982,0.125,WW,aW
5.2881732213742705,0.75,H1F1,aF1
2.043335896597225,0.1875,WW,aW
0.7983593338501285,0.125,WW,aW
0.5053628763399094,0.25,WW,aW
0.49166277542824094,0.125,WW,aW
1.8178592965468512,0.3125,F1W,aW
-0.16619805500488583,0.125,WW,aW
2.2470025164865035,0.25,WW,aW
0.8893098212955391,0.125,WW,aW
1.3281287696651811,0.25,WW,aW
3.237690642479048,0.4375,F1W,aW
5.2701195041359,0.625,H1W,aF1
3.441903429763994,0.5625,H1W,aF1
0.9691559928856285,0.25,WW,aW
0.8142731304621031,0.125,WW,aW
3.49702061994177,0.625,H1W,aF1
2.8675339168927323,0.375,F1W,aW
3.7557280434792863,0.6875,H1W,aF1
-1.029623950165659,0.0,WW,aW
3.384237872886913,0.5,H1W,aF1
